stud_id,marital_status,application_mode,application_order,course,daytime_evening_attendance,previous_qualification,previous_qualification_(grade),nationality,mothers_qualification,fathers_qualification,mothers_occupation,fathers_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,status
11,Single,Change of course,1,Management (evening attendance),Evening,Secondary education,161,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100,Yes,No,No,Yes,Female,No,27,No,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
12,Single,Change of institution/course,1,Management,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,115.7,No,No,No,Yes,Male,No,20,No,0,5,7,5,11,0,0,5,7,3,10,0,8.9,1.4,3.51,Enrolled
13,Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,116,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",109.7,Yes,No,No,Yes,Female,No,22,No,0,6,7,5,14,0,0,6,6,6,15.66666667,0,11.1,0.6,2.02,Graduate
14,Single,Short cycle diploma holders,1,Management,Daytime,Professional higher technical course,140,Portuguese,Higher Education - Degree,Higher Education - Master's,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140.2,No,No,No,Yes,Female,No,20,No,6,11,19,9,12.55555556,0,3,9,14,8,11.11111111,0,8.9,1.4,3.51,Graduate
15,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,125,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126,Yes,No,Yes,Yes,Female,No,20,No,0,7,7,6,15.4,0,0,7,7,6,15.4,0,7.6,2.6,0.32,Graduate
16,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,139,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125.5,No,No,No,Yes,Female,Yes,21,No,0,8,8,7,13.51428571,0,0,8,8,7,13.51428571,0,12.7,3.7,-1.7,Graduate
17,Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,131,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,127.9,No,No,No,Yes,Female,Yes,19,No,0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,Graduate
18,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,121,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",116.8,Yes,No,No,Yes,Female,No,18,No,0,6,11,3,11.66666667,0,0,6,11,3,10.66666667,0,9.4,-0.8,-3.12,Dropout
19,Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary education,120,Portuguese,Unknown,Unknown,Student,Student,106,Yes,No,No,No,Male,No,28,No,0,5,7,3,11.66666667,0,0,5,8,2,11.5,1,7.6,2.6,0.32,Dropout
20,Married,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education - degree,120,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,120,No,No,No,No,Female,No,35,No,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
21,Divorced,Over 23 years old,1,Tourism,Daytime,Secondary education,140,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,112,No,No,Yes,Yes,Female,No,45,No,4,10,12,5,12.16666667,4,2,8,8,0,0,2,12.7,3.7,-1.7,Dropout
22,Single,Change of course,2,Advertising and Marketing Management,Daytime,Secondary education,135,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Skilled Workers in Industry, Construction and Craftsmen",123.5,Yes,No,No,Yes,Male,No,22,No,0,6,12,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
23,Single,1st phase - general contingent,3,Management,Daytime,Secondary education,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
24,Single,Change of course,1,Animation and Multimedia Design,Daytime,Secondary education,145,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,100,No,No,No,Yes,Female,Yes,18,No,0,0,0,0,0,0,0,0,0,0,0,0,13.9,-0.3,0.79,Dropout
25,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",117,No,No,No,Yes,Male,No,33,No,0,6,8,6,12,0,0,6,6,6,11.66666667,0,10.8,1.4,1.74,Graduate
26,Married,Change of institution/course,1,Nursing,Daytime,Secondary education,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120,No,No,No,Yes,Male,No,44,No,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,Dropout
27,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,125,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,125,Yes,No,Yes,No,Female,Yes,19,No,0,6,8,5,10.6,0,0,6,8,5,11,0,10.8,1.4,1.74,Graduate
28,Single,1st phase - general contingent,3,Veterinary Nursing,Daytime,Secondary education,138,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Administrative staff,126.3,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,14,0,0,6,9,6,13.33333333,0,8.9,1.4,3.51,Graduate
29,Single,1st phase - general contingent,2,Tourism,Daytime,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,122.7,Yes,No,No,Yes,Female,No,18,No,0,6,10,4,11.75,0,0,6,13,4,10,0,7.6,2.6,0.32,Dropout
30,Married,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,Yes,No,No,Yes,Female,No,31,No,0,6,11,0,0,0,0,5,10,0,0,0,9.4,-0.8,-3.12,Enrolled
31,Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary education,125,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,132.4,No,No,No,Yes,Male,No,20,No,0,5,7,4,11.75,0,0,5,5,5,13.4,0,7.6,2.6,0.32,Graduate
32,Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,162,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",132,No,No,Yes,Yes,Male,No,25,No,0,5,8,4,11,0,0,5,7,4,12,0,7.6,2.6,0.32,Enrolled
33,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,145,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",136.6,No,No,No,Yes,Female,Yes,19,No,0,7,12,6,13.76666667,0,0,8,10,7,14.05142857,0,15.5,2.8,-4.06,Graduate
34,Divorced,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,113,No,No,No,Yes,Female,Yes,32,No,0,6,18,2,10.33333333,0,0,6,7,6,11.5,0,16.2,0.3,-0.92,Graduate
35,Single,2nd phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,125,Portuguese,Higher Education - Degree,Technological specialization course,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",117,Yes,Yes,No,Yes,Male,No,22,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
36,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,106,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,106.4,Yes,No,No,Yes,Female,Yes,19,No,0,7,9,5,13.34,0,0,7,9,6,12.38571429,0,12.4,0.5,1.79,Enrolled
37,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Doctorate (3rd cycle),Administrative staff,Specialists in Intellectual and Scientific Activities,124.6,Yes,No,Yes,No,Male,No,20,No,3,9,9,3,13.33333333,0,2,6,6,2,12.5,0,8.9,1.4,3.51,Dropout
38,Married,Over 23 years old,2,Advertising and Marketing Management,Daytime,Secondary education,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110,No,No,No,Yes,Male,Yes,36,No,0,5,5,5,11.4,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
39,Single,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,117,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121.6,Yes,No,No,Yes,Female,No,22,No,6,12,12,12,12.91666667,0,4,11,16,11,14.5,0,8.9,1.4,3.51,Graduate
40,Single,Over 23 years old,1,Communication Design,Daytime,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,118,No,No,Yes,Yes,Male,Yes,45,No,0,6,6,6,13.5,0,0,6,6,0,0,0,16.2,0.3,-0.92,Dropout
41,Single,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education - degree,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,140,No,No,No,Yes,Female,No,30,No,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
42,Single,1st phase - general contingent,4,Nursing,Daytime,Secondary education,142,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",127.3,Yes,No,No,Yes,Female,No,18,No,0,8,8,7,15.07571429,0,0,8,8,7,15.07571429,0,10.8,1.4,1.74,Graduate
43,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,170,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,150.8,Yes,No,No,Yes,Female,No,27,No,0,6,13,2,11,0,0,6,14,1,11,0,7.6,2.6,0.32,Dropout
44,Single,Change of course,1,Management (evening attendance),Evening,Secondary education,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,136.1,No,No,No,Yes,Male,Yes,42,No,0,5,14,1,10,0,0,5,14,1,11,0,13.9,-0.3,0.79,Dropout
45,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
46,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",140,No,No,No,Yes,Male,Yes,20,No,0,6,11,5,13.83333333,0,0,6,13,6,12.3,0,15.5,2.8,-4.06,Enrolled
47,Single,Over 23 years old,1,Informatics,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",96.7,No,No,No,Yes,Male,Yes,29,No,0,5,6,0,0,0,0,5,7,0,0,0,12.4,0.5,1.79,Dropout
48,Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
49,Single,1st phase - general contingent,5,Communication Design,Daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,112,Yes,No,No,Yes,Male,Yes,21,No,0,6,6,6,13.5,0,0,6,6,6,11.16666667,0,11.1,0.6,2.02,Graduate
50,Single,Holders of other higher courses,1,Equinculture,Daytime,Higher education - bachelor's degree,133.1,Spanish,Professional higher technical course,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,100,No,No,No,Yes,Male,No,35,Yes,0,7,8,0,0,1,0,6,9,0,0,0,8.9,1.4,3.51,Dropout
51,Single,2nd phase - general contingent,5,Basic Education,Daytime,Secondary education,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",119.1,Yes,No,No,Yes,Female,Yes,19,No,0,6,10,5,12,0,0,6,9,5,10.8,0,9.4,-0.8,-3.12,Graduate
52,Single,Technological specialization diploma holders,1,Equinculture,Daytime,Technological specialization course,120,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,120,Yes,No,No,Yes,Female,No,20,No,0,6,6,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
53,Single,Change of course,1,Equinculture,Daytime,Secondary education,150,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Administrative staff,150,Yes,No,No,Yes,Female,No,21,No,0,6,10,6,12,0,0,6,12,5,12.8,0,13.9,-0.3,0.79,Graduate
54,Single,Over 23 years old,1,Informatics,Daytime,Higher education - degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Other Situation,143.4,No,No,No,Yes,Male,No,29,No,0,3,3,0,0,3,0,5,0,0,0,0,10.8,1.4,1.74,Dropout
55,Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,12th year of schooling - not completed,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,110,No,No,Yes,Yes,Male,No,26,No,0,5,5,0,0,0,0,5,5,0,0,0,9.4,-0.8,-3.12,Dropout
56,Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,150,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",130.2,No,No,No,Yes,Female,Yes,24,No,0,5,7,5,12.28571429,0,0,5,9,5,12.75,1,16.2,0.3,-0.92,Graduate
57,Single,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",100,No,No,No,Yes,Male,No,35,No,17,18,20,18,11.55555556,0,11,13,13,13,11.61538462,0,15.5,2.8,-4.06,Graduate
58,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,108,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,107.8,Yes,No,No,Yes,Female,Yes,20,No,0,7,10,6,12.35714286,0,0,8,9,7,13,0,13.9,-0.3,0.79,Graduate
59,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,157,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",137.8,No,No,No,Yes,Female,Yes,18,No,0,6,6,6,13.83333333,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
60,Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,140,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Armed Forces Professions,140,No,No,Yes,No,Female,No,20,No,1,6,13,4,13,0,1,6,11,5,12,0,16.2,0.3,-0.92,Dropout
61,Single,2nd phase - general contingent,3,Basic Education,Daytime,Secondary education,133.1,Portuguese,Other - 11th Year of Schooling,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Student,134.8,Yes,No,No,Yes,Female,No,18,No,0,6,12,0,0,0,0,6,12,0,0,0,7.6,2.6,0.32,Dropout
62,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Intermediate level technicians from legal, social, sports, cultural and similar services","Intermediate level technicians from legal, social, sports, cultural and similar services",140,Yes,No,Yes,Yes,Male,No,26,No,0,6,6,0,0,0,0,6,7,0,0,0,8.9,1.4,3.51,Enrolled
63,Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary education,139,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,132.7,Yes,No,No,Yes,Female,No,19,No,0,6,7,6,11.16666667,0,0,6,9,6,11.66666667,0,9.4,-0.8,-3.12,Graduate
64,Single,1st phase - general contingent,2,Communication Design,Daytime,Secondary education,145,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,133.5,No,No,No,Yes,Female,No,19,No,0,6,6,6,12.16666667,0,0,6,6,6,11.33333333,0,12.7,3.7,-1.7,Graduate
65,Single,2nd phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,145,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,130,Yes,No,No,Yes,Female,No,23,No,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Dropout
66,Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,163,English,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,150.8,Yes,No,No,Yes,Female,No,19,Yes,0,6,13,6,16,0,0,6,8,6,14.5,0,15.5,2.8,-4.06,Graduate
67,Married,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,149.5,No,No,No,Yes,Male,No,48,No,0,6,6,0,0,0,0,5,6,0,0,0,12.4,0.5,1.79,Dropout
68,Single,Change of course,1,Veterinary Nursing,Daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",120.2,Yes,No,No,Yes,Female,No,20,No,0,5,9,4,12,0,0,5,10,5,13.42857143,1,10.8,1.4,1.74,Graduate
69,Single,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education - degree,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,"Personal Services, Security and Safety Workers and Sellers",130,No,No,No,No,Female,No,28,No,0,6,12,1,11,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
